DSU,Stage,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive2/halfing:this_node_read,0,1000000,64000000,0.02,0.2,true,109039619.333,4083710.214
Adaptive2/halfing:cross_node_write,0,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,0,1000000,64000000,0.02,0.2,true,1374893.167,2364826.616
Adaptive2/halfing:this_node_write,0,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:global_data_read_write,0,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,0,1000000,64000000,0.02,0.2,true,5333828.167,921.505
Adaptive2/halfing:same_set_requests_false,0,1000000,64000000,0.02,0.2,true,119.333,262.488
Adaptive2/halfing:union_requests,0,1000000,64000000,0.02,0.2,true,21332676.500,778.314
Adaptive2/halfing,1,1000000,64000000,0.02,0.2,true,2646290.918,654581.086
Adaptive2/halfing:cross_node_read,1,1000000,64000000,0.02,0.2,true,3260570.667,5756775.076
Adaptive2/halfing:this_node_read,1,1000000,64000000,0.02,0.2,true,109035142.667,4085266.375
Adaptive2/halfing:cross_node_write,1,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,1,1000000,64000000,0.02,0.2,true,1372992.167,2365702.720
Adaptive2/halfing:this_node_write,1,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:global_data_read_write,1,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1,1000000,64000000,0.02,0.2,true,5336390.500,434.322
Adaptive2/halfing:same_set_requests_false,1,1000000,64000000,0.02,0.2,true,121.000,269.488
Adaptive2/halfing:union_requests,1,1000000,64000000,0.02,0.2,true,21330112.500,243.737
Adaptive2/halfing,2,1000000,64000000,0.02,0.2,true,2716030.818,654916.616
Adaptive2/halfing:cross_node_read,2,1000000,64000000,0.02,0.2,true,1382871.333,1286196.369
Adaptive2/halfing:this_node_read,2,1000000,64000000,0.02,0.2,true,108045257.500,1318601.709
Adaptive2/halfing:cross_node_write,2,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:this_node_read_success,2,1000000,64000000,0.02,0.2,true,788638.667,782940.476
Adaptive2/halfing:this_node_write,2,1000000,64000000,0.02,0.2,true,30069.500,73593.709
Adaptive2/halfing:global_data_read_write,2,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,2,1000000,64000000,0.02,0.2,true,5334202.500,3646.193
Adaptive2/halfing:same_set_requests_false,2,1000000,64000000,0.02,0.2,true,13.500,8.142
Adaptive2/halfing:union_requests,2,1000000,64000000,0.02,0.2,true,21332536.000,3640.164
Adaptive3/halfing,0,1000000,64000000,0.02,0.2,true,2265744.033,457767.476
Adaptive3/halfing:cross_node_read,0,1000000,64000000,0.02,0.2,true,4414788.333,2164761.539
Adaptive3/halfing:this_node_read,0,1000000,64000000,0.02,0.2,true,102842693.667,1881685.445
Adaptive3/halfing:cross_node_write,0,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,0,1000000,64000000,0.02,0.2,true,13857428.500,672792.391
Adaptive3/halfing:this_node_write,0,1000000,64000000,0.02,0.2,true,18031.000,43827.575
Adaptive3/halfing:global_data_read_write,0,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,0,1000000,64000000,0.02,0.2,true,5333947.500,778.314
Adaptive3/halfing:same_set_requests_false,0,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:union_requests,0,1000000,64000000,0.02,0.2,true,21332676.500,778.314
Adaptive3/halfing,1,1000000,64000000,0.02,0.2,true,2281166.780,459184.039
Adaptive3/halfing:cross_node_read,1,1000000,64000000,0.02,0.2,true,4024344.500,1447084.180
Adaptive3/halfing:this_node_read,1,1000000,64000000,0.02,0.2,true,102497244.000,1257022.930
Adaptive3/halfing:cross_node_write,1,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:this_node_read_success,1,1000000,64000000,0.02,0.2,true,13738838.333,444059.266
Adaptive3/halfing:this_node_write,1,1000000,64000000,0.02,0.2,true,1881.000,4598.677
Adaptive3/halfing:global_data_read_write,1,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1,1000000,64000000,0.02,0.2,true,5336511.500,243.737
Adaptive3/halfing:same_set_requests_false,1,1000000,64000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:union_requests,1,1000000,64000000,0.02,0.2,true,21330112.500,243.737
Adaptive3/halfing,2,1000000,64000000,0.02,0.2,true,2288573.091,463417.566
