DSU,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive2/halfing:this_node_read_success,1000000,4000000,0.02,0.2,true,4055736.833,9386.553
Adaptive2/halfing:this_node_write,1000000,4000000,0.02,0.2,true,2500625.000,206586.184
Adaptive2/halfing:global_data_read_write,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive2/halfing:same_set_requests_true,1000000,4000000,0.02,0.2,true,749139.833,309.484
Adaptive2/halfing:same_set_requests_false,1000000,4000000,0.02,0.2,true,250907.167,607.992
Adaptive2/halfing:union_requests,1000000,4000000,0.02,0.2,true,4999968.000,0.000
Adaptive2/halfing:hist_begin,1000000,4000000,0.02,0.2,true,720,0
Adaptive2/halfing:hist_end,1000000,4000000,0.02,0.2,true,756,0
Adaptive3/halfing,1000000,4000000,0.02,0.2,true,1127851.857,183255.964
Adaptive3/halfing:cross_node_read,1000000,4000000,0.02,0.2,true,1163683.833,9364.748
Adaptive3/halfing:this_node_read,1000000,4000000,0.02,0.2,true,25955502.833,79431.460
Adaptive3/halfing:cross_node_write,1000000,4000000,0.02,0.2,true,16941.833,91.112
Adaptive3/halfing:this_node_read_success,1000000,4000000,0.02,0.2,true,7115373.500,9088.012
Adaptive3/halfing:this_node_write,1000000,4000000,0.02,0.2,true,2311493.000,49312.436
Adaptive3/halfing:global_data_read_write,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive3/halfing:same_set_requests_true,1000000,4000000,0.02,0.2,true,749335.667,602.819
Adaptive3/halfing:same_set_requests_false,1000000,4000000,0.02,0.2,true,250711.333,901.284
Adaptive3/halfing:union_requests,1000000,4000000,0.02,0.2,true,4999968.000,0.000
Adaptive3/halfing:hist_begin,1000000,4000000,0.02,0.2,true,756,0
Adaptive3/halfing:hist_end,1000000,4000000,0.02,0.2,true,792,0
AdaptiveSmart/halfing,1000000,4000000,0.02,0.2,true,1543610.845,214488.571
AdaptiveSmart/halfing:cross_node_read,1000000,4000000,0.02,0.2,true,405191.000,21012.032
AdaptiveSmart/halfing:this_node_read,1000000,4000000,0.02,0.2,true,23056914.500,73701.493
AdaptiveSmart/halfing:cross_node_write,1000000,4000000,0.02,0.2,true,17894.833,996.103
AdaptiveSmart/halfing:this_node_read_success,1000000,4000000,0.02,0.2,true,490626.000,34350.681
AdaptiveSmart/halfing:this_node_write,1000000,4000000,0.02,0.2,true,2497404.000,59143.643
AdaptiveSmart/halfing:global_data_read_write,1000000,4000000,0.02,0.2,true,0.000,0.000
AdaptiveSmart/halfing:same_set_requests_true,1000000,4000000,0.02,0.2,true,748097.333,122.106
AdaptiveSmart/halfing:same_set_requests_false,1000000,4000000,0.02,0.2,true,251949.667,413.997
AdaptiveSmart/halfing:union_requests,1000000,4000000,0.02,0.2,true,4999968.000,0.000
AdaptiveSmart/halfing:hist_begin,1000000,4000000,0.02,0.2,true,792,0
AdaptiveSmart/halfing:hist_end,1000000,4000000,0.02,0.2,true,828,0
ParallelUnions/squashing,1000000,4000000,0.02,0.2,true,1247426.475,81084.472
ParallelUnions/squashing:cross_node_read,1000000,4000000,0.02,0.2,true,999773.333,14.487
ParallelUnions/squashing:this_node_read,1000000,4000000,0.02,0.2,true,12569276.833,442341.357
ParallelUnions/squashing:cross_node_write,1000000,4000000,0.02,0.2,true,1999311.000,25.195
ParallelUnions/squashing:this_node_read_success,1000000,4000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:this_node_write,1000000,4000000,0.02,0.2,true,3450897.333,130327.758
ParallelUnions/squashing:global_data_read_write,1000000,4000000,0.02,0.2,true,2001390.167,156.129
ParallelUnions/squashing:same_set_requests_true,1000000,4000000,0.02,0.2,true,749242.333,604.452
ParallelUnions/squashing:same_set_requests_false,1000000,4000000,0.02,0.2,true,250804.667,903.344
ParallelUnions/squashing:union_requests,1000000,4000000,0.02,0.2,true,4999968.000,0.000
ParallelUnions/squashing:hist_begin,1000000,4000000,0.02,0.2,true,828,0
ParallelUnions/squashing:hist_end,1000000,4000000,0.02,0.2,true,864,0
Adaptive2/squashing,1000000,4000000,0.02,0.2,true,1293132.913,219677.483
Adaptive2/squashing:cross_node_read,1000000,4000000,0.02,0.2,true,837836.500,61347.345
Adaptive2/squashing:this_node_read,1000000,4000000,0.02,0.2,true,26972748.000,43830.615
Adaptive2/squashing:cross_node_write,1000000,4000000,0.02,0.2,true,17470.333,217.970
Adaptive2/squashing:this_node_read_success,1000000,4000000,0.02,0.2,true,4036979.500,29650.597
Adaptive2/squashing:this_node_write,1000000,4000000,0.02,0.2,true,2087485.000,23101.068
Adaptive2/squashing:global_data_read_write,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1000000,4000000,0.02,0.2,true,749212.667,564.719
Adaptive2/squashing:same_set_requests_false,1000000,4000000,0.02,0.2,true,250834.333,863.707
Adaptive2/squashing:union_requests,1000000,4000000,0.02,0.2,true,4999968.000,0.000
Adaptive2/squashing:hist_begin,1000000,4000000,0.02,0.2,true,864,0
Adaptive2/squashing:hist_end,1000000,4000000,0.02,0.2,true,900,0
Adaptive3/squashing,1000000,4000000,0.02,0.2,true,1055642.518,140394.440
Adaptive3/squashing:cross_node_read,1000000,4000000,0.02,0.2,true,1085271.667,22156.815
Adaptive3/squashing:this_node_read,1000000,4000000,0.02,0.2,true,27404416.000,253024.052
Adaptive3/squashing:cross_node_write,1000000,4000000,0.02,0.2,true,17480.333,211.301
Adaptive3/squashing:this_node_read_success,1000000,4000000,0.02,0.2,true,7371361.167,17398.134
Adaptive3/squashing:this_node_write,1000000,4000000,0.02,0.2,true,2813554.667,126394.156
Adaptive3/squashing:global_data_read_write,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1000000,4000000,0.02,0.2,true,749648.833,95.514
Adaptive3/squashing:same_set_requests_false,1000000,4000000,0.02,0.2,true,250398.167,388.132
