DSU,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive3/squashing:same_set_requests,1000000,4000000,0.02,0.2,true,1000590.000,442.560
Adaptive3/squashing:cross_node_write,1000000,4000000,0.02,0.2,true,16969.833,282.358
Adaptive3/squashing:cross_node_read_per_op,1000000,4000000,0.02,0.2,true,0.183,0.001
Adaptive3/squashing:cross_node_read,1000000,4000000,0.02,0.2,true,1095435.167,4794.202
Adaptive3/squashing:global_data_read_write_per_op,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:this_node_read_success_per_op,1000000,4000000,0.02,0.2,true,1.207,0.017
Adaptive3/squashing:cross_node_write_per_op,1000000,4000000,0.02,0.2,true,0.003,0.000
Adaptive3/squashing:this_node_write,1000000,4000000,0.02,0.2,true,2546190.833,416220.014
Adaptive3/squashing:this_node_write_per_op,1000000,4000000,0.02,0.2,true,0.424,0.069
Adaptive3/squashing:requests,1000000,4000000,0.02,0.2,true,6000558.000,442.560
Adaptive3/squashing:same_set_requests_true,1000000,4000000,0.02,0.2,true,750558.833,95.525
Adaptive3/squashing:global_data_read_write,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:same_set_requests_false,1000000,4000000,0.02,0.2,true,250031.167,349.866
Adaptive3/squashing:this_node_read_success,1000000,4000000,0.02,0.2,true,7242807.000,101508.274
Adaptive3/squashing:hist_begin,1000000,4000000,0.02,0.2,true,396,0
Adaptive3/squashing:hist_end,1000000,4000000,0.02,0.2,true,432,0
Usual,1000000,8000000,0.02,0.2,true,2083510.665,96843.536
Usual:this_node_read,1000000,8000000,0.02,0.2,true,0.000,0.000
Usual:union_requests,1000000,8000000,0.02,0.2,true,9999936.000,0.000
Usual:this_node_read_per_op,1000000,8000000,0.02,0.2,true,0.000,0.000
Usual:same_set_requests,1000000,8000000,0.02,0.2,true,2000548.500,1374.236
Usual:cross_node_write,1000000,8000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_read_per_op,1000000,8000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_read,1000000,8000000,0.02,0.2,true,0.000,0.000
Usual:global_data_read_write_per_op,1000000,8000000,0.02,0.2,true,0.000,0.000
Usual:this_node_read_success_per_op,1000000,8000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_write_per_op,1000000,8000000,0.02,0.2,true,0.000,0.000
Usual:this_node_write,1000000,8000000,0.02,0.2,true,0.000,0.000
Usual:this_node_write_per_op,1000000,8000000,0.02,0.2,true,0.000,0.000
Usual:requests,1000000,8000000,0.02,0.2,true,12000484.500,1374.236
Usual:same_set_requests_true,1000000,8000000,0.02,0.2,true,1750760.167,419.177
Usual:global_data_read_write,1000000,8000000,0.02,0.2,true,0.000,0.000
Usual:same_set_requests_false,1000000,8000000,0.02,0.2,true,249788.333,958.449
Usual:this_node_read_success,1000000,8000000,0.02,0.2,true,0.000,0.000
Usual:hist_begin,1000000,8000000,0.02,0.2,true,432,0
Usual:hist_end,1000000,8000000,0.02,0.2,true,468,0
ParallelUnions/squashing,1000000,8000000,0.02,0.2,true,2175587.913,178700.655
ParallelUnions/squashing:this_node_read,1000000,8000000,0.02,0.2,true,14984718.667,475461.394
ParallelUnions/squashing:union_requests,1000000,8000000,0.02,0.2,true,9999936.000,0.000
ParallelUnions/squashing:this_node_read_per_op,1000000,8000000,0.02,0.2,true,1.249,0.040
ParallelUnions/squashing:same_set_requests,1000000,8000000,0.02,0.2,true,2000548.500,1374.236
ParallelUnions/squashing:cross_node_write,1000000,8000000,0.02,0.2,true,1999998.000,0.000
ParallelUnions/squashing:cross_node_read_per_op,1000000,8000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:cross_node_read,1000000,8000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:global_data_read_write_per_op,1000000,8000000,0.02,0.2,true,0.167,0.000
ParallelUnions/squashing:this_node_read_success_per_op,1000000,8000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:cross_node_write_per_op,1000000,8000000,0.02,0.2,true,0.167,0.000
ParallelUnions/squashing:this_node_write,1000000,8000000,0.02,0.2,true,3518616.500,121759.811
ParallelUnions/squashing:this_node_write_per_op,1000000,8000000,0.02,0.2,true,0.293,0.010
ParallelUnions/squashing:requests,1000000,8000000,0.02,0.2,true,12000484.500,1374.236
ParallelUnions/squashing:same_set_requests_true,1000000,8000000,0.02,0.2,true,1750974.500,686.571
ParallelUnions/squashing:global_data_read_write,1000000,8000000,0.02,0.2,true,2000500.500,71.113
ParallelUnions/squashing:same_set_requests_false,1000000,8000000,0.02,0.2,true,249574.000,689.670
ParallelUnions/squashing:this_node_read_success,1000000,8000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:hist_begin,1000000,8000000,0.02,0.2,true,468,0
ParallelUnions/squashing:hist_end,1000000,8000000,0.02,0.2,true,504,0
Adaptive2/squashing,1000000,8000000,0.02,0.2,true,1498655.805,242017.484
Adaptive2/squashing:this_node_read,1000000,8000000,0.02,0.2,true,48107186.667,399040.884
Adaptive2/squashing:union_requests,1000000,8000000,0.02,0.2,true,9999936.000,0.000
Adaptive2/squashing:this_node_read_per_op,1000000,8000000,0.02,0.2,true,4.009,0.033
Adaptive2/squashing:same_set_requests,1000000,8000000,0.02,0.2,true,2000548.500,1374.236
Adaptive2/squashing:cross_node_write,1000000,8000000,0.02,0.2,true,17135.500,135.829
Adaptive2/squashing:cross_node_read_per_op,1000000,8000000,0.02,0.2,true,0.098,0.008
Adaptive2/squashing:cross_node_read,1000000,8000000,0.02,0.2,true,1174282.167,93076.604
